fold_id,feature,importance,is_history_count,stat_type
test_2015,sharp_24h_USFLUX_std,0.003856692042702928,False,std
test_2015,sharp_24h_USFLUX_min,0.007327825253723429,False,min
test_2015,sharp_24h_USFLUX_max,0.02498952689831098,False,max
test_2015,sharp_24h_USFLUX_delta,0.004603058486613405,False,delta
test_2015,sharp_24h_TOTPOT_last,0.00576768511906564,False,last
test_2015,sharp_24h_TOTPOT_mean,0.006213593088079186,False,mean
test_2015,sharp_24h_TOTPOT_std,0.018233205365949336,False,std
test_2015,sharp_24h_TOTPOT_min,0.0024157546859828725,False,min
test_2015,sharp_24h_TOTPOT_max,0.05845297738150831,False,max
test_2015,sharp_24h_TOTPOT_delta,0.0070046152231942604,False,delta
test_2015,sharp_24h_history_count,0.0,True,count
