experiment,modality,goes_usage,solar_cycle_scope,feature_view,model_name,fold_id,train_years,val_years,test_years,n_features,train_rows,val_rows,test_rows,train_positives,val_positives,test_positives,selected_threshold,diagnostic_test_best_threshold,diagnostic_test_best_tss,val_roc_auc,val_pr_auc,val_brier,val_threshold,val_accuracy,val_precision,val_recall,val_specificity,val_f1,val_tss,val_hss,val_tp,val_tn,val_fp,val_fn,test_roc_auc,test_pr_auc,test_brier,test_threshold,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_tss,test_hss,test_tp,test_tn,test_fp,test_fn
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_12h_available_preferred,logistic_regression_balanced,test_2014,"2010,2011,2012",2013,2014,91,20040,10487,9664,561,392,507,0.34,0.335,0.5870860265984637,0.8837224934550342,0.34579386775092047,0.10762171563327316,0.34,0.7906932392485935,0.13158970167552106,0.8214285714285714,0.7894997523526498,0.2268404367735118,0.6109283237812213,0.1735892449759273,322,7970,2125,70,0.8766701582454138,0.4003730532774255,0.11683286344280609,0.34,0.7854925496688742,0.17073170731707318,0.8007889546351085,0.7846456262968221,0.28145580589254765,0.5854345809319306,0.2134281568574115,406,7185,1972,101
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_12h_available_preferred,random_forest_balanced,test_2014,"2010,2011,2012",2013,2014,91,20040,10487,9664,561,392,507,0.085,0.0425,0.6606814415804596,0.9402150236023087,0.47425424320449083,0.032208685593765454,0.085,0.8357013445217889,0.17865765330758088,0.9438775510204082,0.8315007429420506,0.30044660982541616,0.7753782939624587,0.2535223661320748,370,8394,1701,22,0.8987083527998003,0.36554022618662674,0.04564500444705837,0.085,0.8229511589403974,0.20079522862823063,0.796844181459566,0.8243966364529868,0.3207622072250893,0.6212408179125528,0.2586301454376023,404,7549,1608,103
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_12h_available_preferred,logistic_regression_balanced,test_2015,"2010,2011,2012,2013",2014,2015,91,30527,9664,9174,953,507,424,0.3725,0.3525,0.7577433962264151,0.8927876389927278,0.44870153138578733,0.10801947005949582,0.3725,0.8066018211920529,0.18904109589041096,0.8165680473372781,0.8060500163809108,0.30700778642936594,0.6226180637181888,0.24246513086275354,414,7381,1776,93,0.9393743935309973,0.456648398273125,0.06986548839122125,0.3725,0.8654894266405058,0.24104859335038364,0.8891509433962265,0.8643428571428572,0.37927565392354123,0.7534938005390837,0.33059620474418805,377,7563,1187,47
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_12h_available_preferred,random_forest_balanced,test_2015,"2010,2011,2012,2013",2014,2015,91,30527,9664,9174,953,507,424,0.0375,0.0625,0.8011309973045821,0.8860358174376034,0.316145566736086,0.052148219609842374,0.0375,0.7540355960264901,0.16463414634146342,0.9053254437869822,0.7456590586436606,0.2786039453717754,0.6509845024306427,0.20831788200710177,459,6828,2329,48,0.9490444743935309,0.43852104332496283,0.036034153261723954,0.0375,0.8304992369740571,0.2074495602690119,0.9457547169811321,0.8249142857142857,0.34026304624522696,0.7706690026954179,0.28614806273879806,401,7218,1532,23
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_24h_available_preferred,logistic_regression_balanced,test_2013,"2010,2011",2012,2013,91,8240,5442,7113,245,72,265,0.0025,0.0025,0.5578408790336802,0.8472092902958825,0.08667703327301934,0.044761433438004074,0.0025,0.8022785740536568,0.03944954128440367,0.5972222222222222,0.8050279329608938,0.07401032702237521,0.40225015518311613,0.050441050269806394,43,4323,1047,29,0.8935328866161171,0.46693498618932605,0.04661690321565478,0.0025,0.8187825108955433,0.1379066478076379,0.7358490566037735,0.8219918224299065,0.23228111971411555,0.5578408790336802,0.18088041362574975,195,5629,1219,70
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_24h_available_preferred,random_forest_balanced,test_2013,"2010,2011",2012,2013,91,8240,5442,7113,245,72,265,0.165,0.0925,0.8357967069299947,0.8596847196358369,0.2648212371372307,0.015270081098381407,0.165,0.9193311282616685,0.11850311850311851,0.7916666666666666,0.9210428305400372,0.20614828209764918,0.7127094972067038,0.1874468141551384,57,4946,424,15,0.9683736333979898,0.5931488304477722,0.02311398045407378,0.165,0.9316743989877688,0.33383458646616543,0.8377358490566038,0.9353095794392523,0.4774193548387097,0.7730454284958561,0.448009465656656,222,6405,443,43
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_24h_available_preferred,logistic_regression_balanced,test_2014,"2010,2011,2012",2013,2014,91,13682,7113,5957,317,265,194,0.0175,0.0525,0.5162519163308057,0.8824804928584024,0.39718498403313846,0.05898266164765019,0.0175,0.752425137072965,0.11836734693877551,0.8754716981132076,0.7476635514018691,0.20853932584269663,0.6231352495150766,0.15294085426158696,232,5120,1728,33,0.809644175159344,0.2927552652722883,0.06681057805529772,0.0175,0.724693637737116,0.08304498269896193,0.7422680412371134,0.724102030192608,0.14937759336099585,0.4663700714297214,0.09644789861624313,144,4173,1590,50
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_24h_available_preferred,random_forest_balanced,test_2014,"2010,2011,2012",2013,2014,91,13682,7113,5957,317,265,194,0.08750000000000001,0.0125,0.604463955092118,0.9639263908481748,0.5205074219936723,0.025587667969827713,0.08750000000000001,0.9111486011528188,0.28883774453394706,0.9471698113207547,0.9097546728971962,0.4426807760141093,0.8569244842179509,0.40893124146349547,251,6230,618,14,0.8480915402380274,0.2390146659345615,0.034103429373476137,0.08750000000000001,0.8845056236360584,0.14613180515759314,0.5257731958762887,0.8965816415061599,0.22869955156950672,0.4223548373824486,0.18727696011358724,102,5167,596,92
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_24h_available_preferred,logistic_regression_balanced,test_2015,"2010,2011,2012,2013",2014,2015,91,20795,5957,5738,582,194,278,0.2925,0.17250000000000001,0.6359962579387042,0.8733236018611441,0.24067934226606225,0.07208642911617953,0.2925,0.8633540372670807,0.15246636771300448,0.7010309278350515,0.8688183237896928,0.2504604051565378,0.5698492516247442,0.2080949097580581,136,5007,756,58,0.8924420902838168,0.31864209582501396,0.054194432270638186,0.2925,0.9086789822237713,0.30537974683544306,0.6942446043165468,0.9195970695970695,0.42417582417582417,0.6138416739136163,0.3826291716048744,193,5021,439,85
sharp_temporal_baseline_from_fusion_manifest,SHARP_only,label_lineage_only_no_goes_input_features,Solar_Cycle_24_only_2010_2015,temporal_24h_available_preferred,random_forest_balanced,test_2015,"2010,2011,2012,2013",2014,2015,91,20795,5957,5738,582,194,278,0.0175,0.0275,0.750811658365615,0.8582308755999435,0.16906494102829414,0.04488693791084967,0.0175,0.7446701359744838,0.10340705319784818,0.8917525773195877,0.7397188964081207,0.18532404927691484,0.6314714737277085,0.13482790082114318,173,4263,1500,21,0.9345386328299996,0.3672380413408542,0.037647968108170685,0.0175,0.8131753224119902,0.1955521472392638,0.9172661870503597,0.8078754578754579,0.3223767383059418,0.7251416449258175,0.26355679239201907,255,4411,1049,23
